ship_id,month_arrival,year,hc_group,hc_4digits,reason_bribe,bp,actual_tariff_year,rsa,perishable,tariff2007,tariff_change_2008,agri,b_recipient,dfs,differentiated,day_w_arrival,ba,lba,monitor,psi,term,coercive,bulk,lactual_tariff_year,H_H,H_L,L_L,shift_coercive,post_2008,value_ton,clear_agent,tariff_change_post2008,diff_post_2008,lvalue_ton_post_2008,agri_post_2008,day_w_arrival_post2008,dfs_post_2008,psi_post_2008,tariff2007_post_2008,tariff_reduction,tariff_reduction_post2008,perishable_post_2008,std_bt,value_shipment_metical,ba_value,lba_value,ltonnage_post2008,ba_tonnage,lvalue_shipment_metical,lvalue_shipment_metical_post2008,tonnage,lvalue_tonnage,value_tonnage,monitor_tariff,tariff_evasion,lba_tonnage
1,12,1,15,9405,congestion,,,1,0,20,1,0,customs,0,1,Thursday,,,No,,,1,0,,,1,,2,0,,,0,0,,0,0,0,,0,20,0,0,,,,,,,,,,,,,0,
2,3,4,12,8215,undervalue,0,0,0,0,20,1,0,customs,0,1,Friday,0,0,No,not inspected,TIMAR,,0,0,,1,,1,1,511.75,1,1,1,6.2397885,0,1,0,2,20,20,20,0,,651805.75,0,0,2.4849067,0,13.387504,13.387504,12,6.2397885,511.75,0,1,0
3,12,1,3,2202,undervalue,1,20,1,0,20,1,0,customs,0,1,Saturday,10246.04,9.2347441,No,not inspected,RESSANO GARCIA,0,0,3.0445225,,1,,0,0,,1,0,0,,0,0,0,0,0,20,0,0,,171853.67,.059620723,.057911035,,,12.054404,0,,,,3.0445225,1,
4,8,4,14,8703,,1,20,0,0,20,0,1,,0,1,Saturday,18290.877,9.8142128,No,not inspected,TIAUTO,0,0,3.0445225,1,,,0,1,33629.332,6,0,1,10.423183,1,3,0,2,20,0,0,0,3473.6787,5354126,.0034162209,.003410399,.4054651,114.88522,15.493379,15.493379,1.5,10.423183,33629.332,3.0445225,0,4.7526002
5,8,4,14,8703,,0,20,0,0,20,0,1,,0,1,Sunday,0,0,No,inspected,TIAUTO,,0,3.0445225,1,,,1,1,18625.334,6,0,1,9.8323317,1,4,0,1,20,0,0,0,3473.6787,2965339.3,0,0,.4054651,0,14.902502,14.902502,1.5,9.8323317,18625.334,3.0445225,0,0
6,12,1,3,2202,undervalue,1,20,1,0,20,1,0,customs,0,1,Sunday,10246.04,9.2347441,No,not inspected,RESSANO GARCIA,0,0,3.0445225,,1,,0,0,,1,0,0,,0,0,0,0,0,20,0,0,,171853.67,.059620723,.057911035,,,12.054404,0,,,,3.0445225,1,
7,1,1,2,701,undervalue,1,20,1,1,20,0,0,customs,0,0,Thursday,136604,11.824849,No,inspected,RESSANO GARCIA,0,0,3.0445225,1,,,0,0,,1,0,0,,0,0,0,0,0,0,0,0,0,515555.81,.26496452,.23504408,,,13.153003,0,,,,3.0445225,1,
8,2,5,13,8414,jump queue,0,0,0,0,0,0,0,customs,0,1,Tuesday,0,0,No,inspected,FRIGO,,0,0,,,1,1,1,,7,0,1,,0,6,0,1,0,0,0,0,,7325716,0,0,,,15.806902,15.806902,,,,0,0,
9,1,1,3,1704,undervalue,1,20,1,1,20,0,0,customs,0,0,Wednesday,1229.288,7.1150036,No,inspected,RESSANO GARCIA,0,0,3.0445225,1,,,0,0,,1,0,0,,0,0,0,0,0,0,0,0,117.21308,429634.56,.0028612409,.0028571554,,,12.970693,0,,,,3.0445225,1,
10,3,4,12,7216,,0,7.5,0,0,7.5,0,0,,0,1,Monday,0,0,No,not inspected,TIMAR,,0,2.1400661,,,1,1,1,24.708221,6,0,1,3.2468109,0,2,0,2,7.5,0,0,0,0,42747248,0,0,9.6989202,0,17.570816,17.570816,16299.998,3.2468109,24.708223,2.1400661,0,0
11,12,1,2,810,undervalue,1,20,1,1,20,1,0,customs,0,0,Thursday,22200,10.007893,No,inspected,RESSANO GARCIA,0,0,3.0445225,,1,,0,0,,1,0,0,,0,0,0,0,0,20,0,0,62.246193,26138970,.00084930658,.0008489461,,,17.078938,0,,,,3.0445225,1,
